event_id,timestamp,source_ip,destination_ip,protocol,attack_type,attack_category,confidence,risk_level,status,priority_score
E-45801,2026-06-11 23:59:38,192.168.1.100,10.0.0.10,TCP,Reconnaissance,탐색형 공격,0.9838,Medium,관찰 필요,84
E-45692,2026-06-11 23:59:15,192.168.1.191,10.0.0.51,TCP,Reconnaissance,탐색형 공격,0.9947,Medium,관찰 필요,84
E-48637,2026-06-11 23:59:11,192.168.1.136,10.0.0.46,TCP,XSS,웹 공격,0.9578,High,확인 필요,96
E-48552,2026-06-11 23:59:00,192.168.1.151,10.0.0.11,TCP,Reconnaissance,탐색형 공격,0.9952,Medium,관찰 필요,84
E-46094,2026-06-11 23:58:48,192.168.1.193,10.0.0.53,TCP,Benign,정상 트래픽,0.9996,Low,정상,5
E-49350,2026-06-11 23:58:38,192.168.1.149,10.0.0.59,TCP,XSS,웹 공격,0.9997,High,확인 필요,100
E-45577,2026-06-11 23:58:31,192.168.1.176,10.0.0.36,TCP,Reconnaissance,탐색형 공격,0.9984,Medium,관찰 필요,84
E-48056,2026-06-11 23:58:25,192.168.1.155,10.0.0.15,TCP,XSS,웹 공격,0.9996,High,확인 필요,100
E-46819,2026-06-11 23:58:04,192.168.1.118,10.0.0.28,TCP,Reconnaissance,탐색형 공격,0.984,Medium,관찰 필요,84
E-48867,2026-06-11 23:57:50,192.168.1.166,10.0.0.26,TCP,Benign,정상 트래픽,0.9298,Low,정상,5
E-46732,2026-06-11 23:57:18,192.168.1.131,10.0.0.41,TCP,Reconnaissance,탐색형 공격,0.9692,Medium,관찰 필요,84
E-49564,2026-06-11 23:57:14,192.168.1.163,10.0.0.23,TCP,Scanning,탐색형 공격,0.9888,Medium,관찰 필요,84
E-49003,2026-06-11 23:57:12,192.168.1.102,10.0.0.12,TCP,Reconnaissance,탐색형 공격,0.9123,Medium,관찰 필요,84
E-46734,2026-06-11 23:56:42,192.168.1.133,10.0.0.43,TCP,XSS,웹 공격,0.9998,High,확인 필요,100
E-49274,2026-06-11 23:56:26,192.168.1.173,10.0.0.33,TCP,Injection,웹 공격,0.9561,High,확인 필요,96
E-46570,2026-06-11 23:56:19,192.168.1.169,10.0.0.29,TCP,Injection,웹 공격,0.959,High,확인 필요,96
E-48756,2026-06-11 23:56:19,192.168.1.155,10.0.0.15,TCP,Reconnaissance,탐색형 공격,0.993,Medium,관찰 필요,84
E-47174,2026-06-11 23:55:55,192.168.1.173,10.0.0.33,TCP,Reconnaissance,탐색형 공격,0.9546,Medium,관찰 필요,84
E-47456,2026-06-11 23:55:48,192.168.1.155,10.0.0.15,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-46097,2026-06-11 23:55:42,192.168.1.196,10.0.0.56,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
